Subnetwork member genes	Tissue-specific mutated genes	P value	Conductance score	Number of subnetwork members	Tissue
USP7	LZTR1	0.0008071445552289	0.9176506955177745	71	Skin
EP300	LZTR1	0.0008071445552289	0.9176506955177745	71	Skin
DDR1	LZTR1	0.0008071445552289	0.9176506955177745	71	Skin
WNK1	LZTR1	0.0008071445552289	0.9176506955177745	71	Skin
TCEA1	LZTR1	0.0008071445552289	0.9176506955177745	71	Skin
NUDT21	LZTR1	0.0008071445552289	0.9176506955177745	71	Skin
HSP90AA1	LZTR1	0.0008071445552289	0.9176506955177745	71	Skin
DDX6	LZTR1	0.0008071445552289	0.9176506955177745	71	Skin
RC3H2	LZTR1	0.0008071445552289	0.9176506955177745	71	Skin
HDAC2	LZTR1	0.0008071445552289	0.9176506955177745	71	Skin
HNRNPR	LZTR1	0.0008071445552289	0.9176506955177745	71	Skin
SNRPC	LZTR1	0.0008071445552289	0.9176506955177745	71	Skin
DHX9	LZTR1	0.0008071445552289	0.9176506955177745	71	Skin
SYNCRIP	LZTR1	0.0008071445552289	0.9176506955177745	71	Skin
CREBBP	LZTR1	0.0008071445552289	0.9176506955177745	71	Skin
RAN	LZTR1	0.0008071445552289	0.9176506955177745	71	Skin
KDM1A	LZTR1	0.0008071445552289	0.9176506955177745	71	Skin
DIP2B	LZTR1	0.0008071445552289	0.9176506955177745	71	Skin
MTOR	LZTR1	0.0008071445552289	0.9176506955177745	71	Skin
YY1	LZTR1	0.0008071445552289	0.9176506955177745	71	Skin
SNRPD1	LZTR1	0.0008071445552289	0.9176506955177745	71	Skin
AQR	LZTR1	0.0008071445552289	0.9176506955177745	71	Skin
RAP1B	LZTR1	0.0008071445552289	0.9176506955177745	71	Skin
BRAF	LZTR1	0.0008071445552289	0.9176506955177745	71	Skin
EFTUD2	LZTR1	0.0008071445552289	0.9176506955177745	71	Skin
MAP2K1	LZTR1	0.0008071445552289	0.9176506955177745	71	Skin
SHC1	LZTR1	0.0008071445552289	0.9176506955177745	71	Skin
MAPK1	LZTR1	0.0008071445552289	0.9176506955177745	71	Skin
TPR	LZTR1	0.0008071445552289	0.9176506955177745	71	Skin
UNC5C	LZTR1	0.0008071445552289	0.9176506955177745	71	Skin
IQGAP1	LZTR1	0.0008071445552289	0.9176506955177745	71	Skin
ASXL2	LZTR1	0.0008071445552289	0.9176506955177745	71	Skin
PRPF40A	LZTR1	0.0008071445552289	0.9176506955177745	71	Skin
CTR9	LZTR1	0.0008071445552289	0.9176506955177745	71	Skin
LSM14A	LZTR1	0.0008071445552289	0.9176506955177745	71	Skin
SNRPB2	LZTR1	0.0008071445552289	0.9176506955177745	71	Skin
MAP2K3	MAP2K1	0.0001365139319775	0.8145454545454546	39	Skin
MAP2K2	MAP2K1	0.0001365139319775	0.8145454545454546	39	Skin
MAPK11	MAP2K1	0.0001365139319775	0.8145454545454546	39	Skin
EFNB2	MAP2K1	0.0001365139319775	0.8145454545454546	39	Skin
RAF1	MAP2K1	0.0001365139319775	0.8145454545454546	39	Skin
EPHA3	MAP2K1	0.0001365139319775	0.8145454545454546	39	Skin
MAPK7	MAP2K1	0.0001365139319775	0.8145454545454546	39	Skin
EFNB3	MAP2K1	0.0001365139319775	0.8145454545454546	39	Skin
YWHAB	MAP2K1	0.0001365139319775	0.8145454545454546	39	Skin
PLCG1	MAP2K1	0.0001365139319775	0.8145454545454546	39	Skin
MAPK3	MAP2K1	0.0001365139319775	0.8145454545454546	39	Skin
PPP2R2D	MAP2K1	0.0001365139319775	0.8145454545454546	39	Skin
MAPK14	MAP2K1	0.0001365139319775	0.8145454545454546	39	Skin
MARK3	MAP2K1	0.0001365139319775	0.8145454545454546	39	Skin
MAPK8	MAP2K1	0.0001365139319775	0.8145454545454546	39	Skin
EFNB1	MAP2K1	0.0001365139319775	0.8145454545454546	39	Skin
GRAP2	MAP2K1	0.0001365139319775	0.8145454545454546	39	Skin
KSR1	MAP2K1	0.0001365139319775	0.8145454545454546	39	Skin
YWHAH	MAP2K1	0.0001365139319775	0.8145454545454546	39	Skin
NRAS	MAP2K1	0.0001365139319775	0.8145454545454546	39	Skin
ERBB2	MAP2K1	0.0001365139319775	0.8145454545454546	39	Skin
ERBB4	MAP2K1	0.0001365139319775	0.8145454545454546	39	Skin
MAP3K1	MAP2K1	0.0001365139319775	0.8145454545454546	39	Skin
MAP3K5	MAP2K1	0.0001365139319775	0.8145454545454546	39	Skin
RET	MAP2K1	0.0001365139319775	0.8145454545454546	39	Skin
MAP2K4	MAP2K1	0.0001365139319775	0.8145454545454546	39	Skin
ARAF	MAP2K1	0.0001365139319775	0.8145454545454546	39	Skin
ERBB3	MAP2K1	0.0001365139319775	0.8145454545454546	39	Skin
SOS1	MAP2K1	0.0001365139319775	0.8145454545454546	39	Skin
FRK	MAP2K1	0.0001365139319775	0.8145454545454546	39	Skin
KRAS	MAP2K1	0.0001365139319775	0.8145454545454546	39	Skin
EPHB2	MAP2K1	0.0001365139319775	0.8145454545454546	39	Skin
BRAF	MAP2K1	0.0001365139319775	0.8145454545454546	39	Skin
MAP2K1	MAP2K1	0.0001365139319775	0.8145454545454546	39	Skin
MAPK12	MAP2K1	0.0001365139319775	0.8145454545454546	39	Skin
SHC1	MAP2K1	0.0001365139319775	0.8145454545454546	39	Skin
MAPK1	MAP2K1	0.0001365139319775	0.8145454545454546	39	Skin
MAPK13	MAP2K1	0.0001365139319775	0.8145454545454546	39	Skin
MAPK8IP3	MAP2K1	0.0001365139319775	0.8145454545454546	39	Skin
PPP2CB	NRAS	0.0002543095480442	0.7955651703623581	48	Skin
RIN2	NRAS	0.0002543095480442	0.7955651703623581	48	Skin
RAB8A	NRAS	0.0002543095480442	0.7955651703623581	48	Skin
MAP2K2	NRAS	0.0002543095480442	0.7955651703623581	48	Skin
RAF1	NRAS	0.0002543095480442	0.7955651703623581	48	Skin
PPP2R2B	NRAS	0.0002543095480442	0.7955651703623581	48	Skin
MPP7	NRAS	0.0002543095480442	0.7955651703623581	48	Skin
RDH13	NRAS	0.0002543095480442	0.7955651703623581	48	Skin
HRAS	NRAS	0.0002543095480442	0.7955651703623581	48	Skin
LETMD1	NRAS	0.0002543095480442	0.7955651703623581	48	Skin
PPP2R2D	NRAS	0.0002543095480442	0.7955651703623581	48	Skin
RRAS2	NRAS	0.0002543095480442	0.7955651703623581	48	Skin
OMA1	NRAS	0.0002543095480442	0.7955651703623581	48	Skin
MTHFD2	NRAS	0.0002543095480442	0.7955651703623581	48	Skin
RRAS	NRAS	0.0002543095480442	0.7955651703623581	48	Skin
RAB5B	NRAS	0.0002543095480442	0.7955651703623581	48	Skin
RGL2	NRAS	0.0002543095480442	0.7955651703623581	48	Skin
RAB6A	NRAS	0.0002543095480442	0.7955651703623581	48	Skin
RAP1A	NRAS	0.0002543095480442	0.7955651703623581	48	Skin
PREX2	NRAS	0.0002543095480442	0.7955651703623581	48	Skin
SOAT1	NRAS	0.0002543095480442	0.7955651703623581	48	Skin
RAB1A	NRAS	0.0002543095480442	0.7955651703623581	48	Skin
RAB5A	NRAS	0.0002543095480442	0.7955651703623581	48	Skin
STEAP3	NRAS	0.0002543095480442	0.7955651703623581	48	Skin
YWHAH	NRAS	0.0002543095480442	0.7955651703623581	48	Skin
COQ8B	NRAS	0.0002543095480442	0.7955651703623581	48	Skin
RAB5C	NRAS	0.0002543095480442	0.7955651703623581	48	Skin
ERBB2	NRAS	0.0002543095480442	0.7955651703623581	48	Skin
NRAS	NRAS	0.0002543095480442	0.7955651703623581	48	Skin
ERBB4	NRAS	0.0002543095480442	0.7955651703623581	48	Skin
RMDN1	NRAS	0.0002543095480442	0.7955651703623581	48	Skin
EXD2	NRAS	0.0002543095480442	0.7955651703623581	48	Skin
ARAF	NRAS	0.0002543095480442	0.7955651703623581	48	Skin
ERBB3	NRAS	0.0002543095480442	0.7955651703623581	48	Skin
LIN7A	NRAS	0.0002543095480442	0.7955651703623581	48	Skin
PPP2R2A	NRAS	0.0002543095480442	0.7955651703623581	48	Skin
KRAS	NRAS	0.0002543095480442	0.7955651703623581	48	Skin
PPP2CA	NRAS	0.0002543095480442	0.7955651703623581	48	Skin
RIN1	NRAS	0.0002543095480442	0.7955651703623581	48	Skin
RAP1B	NRAS	0.0002543095480442	0.7955651703623581	48	Skin
BRAF	NRAS	0.0002543095480442	0.7955651703623581	48	Skin
MAP2K1	NRAS	0.0002543095480442	0.7955651703623581	48	Skin
MICU1	NRAS	0.0002543095480442	0.7955651703623581	48	Skin
MICU2	NRAS	0.0002543095480442	0.7955651703623581	48	Skin
RAB7A	NRAS	0.0002543095480442	0.7955651703623581	48	Skin
RAB8B	NRAS	0.0002543095480442	0.7955651703623581	48	Skin
MAPK13	NRAS	0.0002543095480442	0.7955651703623581	48	Skin
TRABD	NRAS	0.0002543095480442	0.7955651703623581	48	Skin
RYR1	RYR2	6.80941137301756e-05	0.6025293586269196	31	Skin
MYL2	RYR2	6.80941137301756e-05	0.6025293586269196	31	Skin
KLHL41	RYR2	6.80941137301756e-05	0.6025293586269196	31	Skin
TRIM54	RYR2	6.80941137301756e-05	0.6025293586269196	31	Skin
FKBP1B	RYR2	6.80941137301756e-05	0.6025293586269196	31	Skin
MSTN	RYR2	6.80941137301756e-05	0.6025293586269196	31	Skin
TNNT1	RYR2	6.80941137301756e-05	0.6025293586269196	31	Skin
LMOD3	RYR2	6.80941137301756e-05	0.6025293586269196	31	Skin
MYOZ1	RYR2	6.80941137301756e-05	0.6025293586269196	31	Skin
MYH2	RYR2	6.80941137301756e-05	0.6025293586269196	31	Skin
TRIM63	RYR2	6.80941137301756e-05	0.6025293586269196	31	Skin
CACNA1S	RYR2	6.80941137301756e-05	0.6025293586269196	31	Skin
TMOD4	RYR2	6.80941137301756e-05	0.6025293586269196	31	Skin
CKM	RYR2	6.80941137301756e-05	0.6025293586269196	31	Skin
KLHL40	RYR2	6.80941137301756e-05	0.6025293586269196	31	Skin
MYOT	RYR2	6.80941137301756e-05	0.6025293586269196	31	Skin
C10orf71	RYR2	6.80941137301756e-05	0.6025293586269196	31	Skin
RYR2	RYR2	6.80941137301756e-05	0.6025293586269196	31	Skin
CASQ2	RYR2	6.80941137301756e-05	0.6025293586269196	31	Skin
C8orf34	RYR2	6.80941137301756e-05	0.6025293586269196	31	Skin
S100A1	RYR2	6.80941137301756e-05	0.6025293586269196	31	Skin
MYH7	RYR2	6.80941137301756e-05	0.6025293586269196	31	Skin
TRDN	RYR2	6.80941137301756e-05	0.6025293586269196	31	Skin
XIRP2	RYR2	6.80941137301756e-05	0.6025293586269196	31	Skin
CASQ1	RYR2	6.80941137301756e-05	0.6025293586269196	31	Skin
TNNC1	RYR2	6.80941137301756e-05	0.6025293586269196	31	Skin
AKAP6	RYR2	6.80941137301756e-05	0.6025293586269196	31	Skin
TCAP	RYR2	6.80941137301756e-05	0.6025293586269196	31	Skin
TTN	RYR2	6.80941137301756e-05	0.6025293586269196	31	Skin
ACTN2	RYR2	6.80941137301756e-05	0.6025293586269196	31	Skin
FITM1	RYR2	6.80941137301756e-05	0.6025293586269196	31	Skin
